COST,COLUMN1,COLUMN2,COLUMN3,COLUMN4
1.00955494E10,,M/S 2/7->C,D,,M/S 1/7->A,B,
9.8618368E9,,M/S 3/7->D,,M/S 2/7->C,,M/S 1/7->A,B,
9.7129554E9,,M/S 2/7->C,,M/S 4/7->D,,M/S 1/7->A,B,
9.4536581E9,,M/S 5/7->D,,M/S 2/7->C,,M/S 1/7->A,B,
1.05331241E10,,M/S 2/7->C,,M/S 1/7->A,B,,M/S 6/7->D,
1.06306232E10,,M/S 2/7->C,,M/S 7/7->D,,M/S 1/7->A,B,
9.7945047E9,,M/S 3/7->C,,M/S 2/7->D,,M/S 1/7->A,B,
9.2615414E9,,M/S 3/7->C,D,,M/S 1/7->A,B,
9.1834563E9,,M/S 3/7->C,,M/S 4/7->D,,M/S 1/7->A,B,
8.924159E9,,M/S 3/7->C,,M/S 5/7->D,,M/S 1/7->A,B,
1.0003626E10,,M/S 3/7->C,,M/S 1/7->A,B,,M/S 6/7->D,
1.01011251E10,,M/S 3/7->C,,M/S 7/7->D,,M/S 1/7->A,B,
9.6344637E9,,M/S 2/7->D,,M/S 4/7->C,,M/S 1/7->A,B,
9.1722977E9,,M/S 3/7->D,,M/S 4/7->C,,M/S 1/7->A,B,
8.5558774E9,,M/S 4/7->C,D,,M/S 1/7->A,B,
8.764119E9,,M/S 5/7->D,,M/S 4/7->C,,M/S 1/7->A,B,
9.843585E9,,M/S 4/7->C,,M/S 1/7->A,B,,M/S 6/7->D,
9.9410842E9,,M/S 7/7->D,,M/S 4/7->C,,M/S 1/7->A,B,
9.465001E9,,M/S 5/7->C,,M/S 2/7->D,,M/S 1/7->A,B,
9.0028339E9,,M/S 3/7->D,,M/S 5/7->C,,M/S 1/7->A,B,
8.8539535E9,,M/S 5/7->C,,M/S 4/7->D,,M/S 1/7->A,B,
8.5946563E9,,M/S 5/7->C,D,,M/S 1/7->A,B,
9.6741222E9,,M/S 5/7->C,,M/S 1/7->A,B,,M/S 6/7->D,
9.7716214E9,,M/S 5/7->C,,M/S 7/7->D,,M/S 1/7->A,B,
1.04741745E10,,M/S 2/7->D,,M/S 1/7->A,B,,M/S 6/7->C,
1.00120084E10,,M/S 3/7->D,,M/S 1/7->A,B,,M/S 6/7->C,
9.863127E9,,M/S 4/7->D,,M/S 1/7->A,B,,M/S 6/7->C,
9.6038298E9,,M/S 5/7->D,,M/S 1/7->A,B,,M/S 6/7->C,
1.06832957E10,,M/S 1/7->A,B,,M/S 6/7->C,D,
1.07807949E10,,M/S 7/7->D,,M/S 1/7->A,B,,M/S 6/7->C,
1.03656448E10,,M/S 2/7->B,D,,M/S 1/7->A,C,
1.00516444E10,,M/S 3/7->D,,M/S 2/7->B,,M/S 1/7->A,C,
9.902763E9,,M/S 2/7->B,,M/S 4/7->D,,M/S 1/7->A,C,
9.6434657E9,,M/S 5/7->D,,M/S 2/7->B,,M/S 1/7->A,C,
1.07229327E10,,M/S 2/7->B,,M/S 1/7->A,C,,M/S 6/7->D,
1.08204319E10,,M/S 2/7->B,,M/S 7/7->D,,M/S 1/7->A,C,
1.04525353E10,,M/S 2/7->B,C,,M/S 1/7->A,D,
1.06236774E10,,M/S 3/7->D,,M/S 2/7->B,C,,M/S 1/7->A,
1.04747971E10,,M/S 2/7->B,C,,M/S 4/7->D,,M/S 1/7->A,
1.02154998E10,,M/S 5/7->D,,M/S 2/7->B,C,,M/S 1/7->A,
1.12949658E10,,M/S 2/7->B,C,,M/S 1/7->A,,M/S 6/7->D,
1.13924649E10,,M/S 2/7->B,C,,M/S 7/7->D,,M/S 1/7->A,
1.00709181E10,,M/S 3/7->C,,M/S 2/7->B,,M/S 1/7->A,D,
1.05560617E10,,M/S 3/7->C,,M/S 2/7->B,D,,M/S 1/7->A,
1.0171266E10,,M/S 3/7->C,D,,M/S 2/7->B,,M/S 1/7->A,
1.00931799E10,,M/S 3/7->C,,M/S 2/7->B,,M/S 4/7->D,,M/S 1/7->A,
9.8338826E9,,M/S 3/7->C,,M/S 5/7->D,,M/S 2/7->B,,M/S 1/7->A,
1.09133496E10,,M/S 3/7->C,,M/S 2/7->B,,M/S 1/7->A,,M/S 6/7->D,
1.10108488E10,,M/S 3/7->C,,M/S 2/7->B,,M/S 7/7->D,,M/S 1/7->A,
9.9108782E9,,M/S 2/7->B,,M/S 4/7->C,,M/S 1/7->A,D,
1.03960218E10,,M/S 2/7->B,D,,M/S 4/7->C,,M/S 1/7->A,
1.00820214E10,,M/S 3/7->D,,M/S 2/7->B,,M/S 4/7->C,,M/S 1/7->A,
9.465601E9,,M/S 2/7->B,,M/S 4/7->C,D,,M/S 1/7->A,
9.6738437E9,,M/S 5/7->D,,M/S 2/7->B,,M/S 4/7->C,,M/S 1/7->A,
1.07533097E10,,M/S 2/7->B,,M/S 4/7->C,,M/S 1/7->A,,M/S 6/7->D,
1.08508088E10,,M/S 2/7->B,,M/S 7/7->D,,M/S 4/7->C,,M/S 1/7->A,
9.7414154E9,,M/S 5/7->C,,M/S 2/7->B,,M/S 1/7->A,D,
1.0226559E10,,M/S 5/7->C,,M/S 2/7->B,D,,M/S 1/7->A,
9.9125586E9,,M/S 3/7->D,,M/S 5/7->C,,M/S 2/7->B,,M/S 1/7->A,
9.7636772E9,,M/S 5/7->C,,M/S 2/7->B,,M/S 4/7->D,,M/S 1/7->A,
9.5043809E9,,M/S 5/7->C,D,,M/S 2/7->B,,M/S 1/7->A,
1.05838469E10,,M/S 5/7->C,,M/S 2/7->B,,M/S 1/7->A,,M/S 6/7->D,
1.0681346E10,,M/S 5/7->C,,M/S 2/7->B,,M/S 7/7->D,,M/S 1/7->A,
1.07505889E10,,M/S 2/7->B,,M/S 1/7->A,D,,M/S 6/7->C,
1.12357325E10,,M/S 2/7->B,D,,M/S 1/7->A,,M/S 6/7->C,
1.09217321E10,,M/S 3/7->D,,M/S 2/7->B,,M/S 1/7->A,,M/S 6/7->C,
1.07728517E10,,M/S 2/7->B,,M/S 4/7->D,,M/S 1/7->A,,M/S 6/7->C,
1.05135544E10,,M/S 5/7->D,,M/S 2/7->B,,M/S 1/7->A,,M/S 6/7->C,
1.15930204E10,,M/S 2/7->B,,M/S 1/7->A,,M/S 6/7->C,D,
1.16905196E10,,M/S 2/7->B,,M/S 7/7->D,,M/S 1/7->A,,M/S 6/7->C,
9.8449572E9,,M/S 3/7->B,,M/S 2/7->D,,M/S 1/7->A,C,
9.3588122E9,,M/S 3/7->B,D,,M/S 1/7->A,C,
